id,subscription_id,customer_id,created_at,updated_at,next_charge_scheduled_at,cancelled_at,product_title,price,quantity,status,shopify_product_id,shopify_variant_id,sku,shopify_customer_id,shopify_tags,tag_updated_at,is_tag_updated
218,18776184,12901389,2018-07-16 11:59:22,2018-07-20 17:43:05.401147,2018-08-16 00:00:00,,Seeing Stars - 3 Items,39.95,1,ACTIVE,1446660702266,13422444281914,764204172542,821533474874,Active Subscriber,2018-07-20 17:43:05.39962,t
938,18732325,12874066,2018-07-15 11:29:38,2018-07-20 17:43:10.297735,2018-08-15 00:00:00,,Print Paradise - 5 Items,49.95,1,ACTIVE,1446647234618,13422387134522,764204172528,819086950458,Active Subscriber,2018-07-20 17:43:10.296406,t
42,18426486,12673380,2018-07-07 13:39:31,2018-07-20 18:01:57.969188,2018-08-07 00:00:00,,Seeing Stars - 3 Items,39.95,1,ACTIVE,1446660702266,13422444281914,764204172542,791180902458,,2018-07-20 18:01:57.967909,t
53,18407871,12661074,2018-07-06 22:36:06,2018-07-20 18:02:52.107355,2018-08-06 00:00:00,,Seeing Stars - 3 Items,39.95,1,ACTIVE,1446660702266,13422444281914,764204172542,785002922042,,2018-07-20 18:02:52.105963,t
63,18391408,12650062,2018-07-06 14:33:10,2018-07-20 18:03:41.930179,2018-08-06 00:00:00,,Vitamin Sea - 3 Items,39.95,1,ACTIVE,1446669287482,13422500282426,764204172566,771297902650,,2018-07-20 18:03:41.92876,t
72,18370061,12636371,2018-07-06 01:38:54,2018-07-20 18:04:26.978431,2018-08-06 00:00:00,,Seeing Stars - 3 Items,39.95,1,ACTIVE,1446660702266,13422444281914,764204172542,770181890106,,2018-07-20 18:04:26.977059,t
83,18358476,12628569,2018-07-05 18:42:05,2018-07-20 18:05:21.23179,2018-08-05 00:00:00,,Seeing Stars - 3 Items,39.95,1,ACTIVE,1446660702266,13422444281914,764204172542,769609400378,,2018-07-20 18:05:21.230421,t
95,18325272,12606159,2018-07-05 02:20:26,2018-07-20 18:06:19.866959,2018-08-05 00:00:00,,Print Paradise - 3 Items,39.95,1,ACTIVE,1446651330618,13422408990778,764204172535,767360532538,,2018-07-20 18:06:19.865616,t
113,18318883,5402528,2018-07-04 20:48:52,2018-07-20 18:21:02.84971,2018-08-04 00:00:00,,Seeing Stars - 3 Items,39.95,1,ACTIVE,1446660702266,13422444281914,764204172542,6083786322,,2018-07-20 18:21:02.848359,t
124,18314548,12599245,2018-07-04 18:17:16,2018-07-20 18:21:56.120365,2018-08-04 00:00:00,,Seeing Stars - 3 Items,39.95,1,ACTIVE,1446660702266,13422444281914,764204172542,765904551994,,2018-07-20 18:21:56.119034,t
137,18311504,12597341,2018-07-04 16:49:59,2018-07-20 18:22:55.036022,2018-08-04 00:00:00,,Seeing Stars - 3 Items,39.95,1,ACTIVE,1446660702266,13422444281914,764204172542,765721837626,,2018-07-20 18:22:55.034729,t
154,18305511,12593418,2018-07-04 13:52:15,2018-07-20 18:24:17.567449,2018-08-04 00:00:00,,Seeing Stars - 3 Items,39.95,1,ACTIVE,1446660702266,13422444281914,764204172542,764384477242,,2018-07-20 18:24:17.56604,t
165,18304014,12592434,2018-07-04 13:09:30,2018-07-20 18:25:10.283751,2018-08-04 00:00:00,,Seeing Stars - 3 Items,39.95,1,ACTIVE,1446660702266,13422444281914,764204172542,764089696314,,2018-07-20 18:25:10.282402,t
178,18299660,12589580,2018-07-04 11:09:43,2018-07-20 18:26:13.934134,2018-08-04 00:00:00,,Seeing Stars - 3 Items,39.95,1,ACTIVE,1446660702266,13422444281914,764204172542,763635826746,,2018-07-20 18:26:13.932795,t
194,18285361,12580594,2018-07-03 23:15:46,2018-07-20 18:27:26.285715,2018-08-03 00:00:00,,Seeing Stars - 3 Items,39.95,1,ACTIVE,1446660702266,13422444281914,764204172542,684481937466,,2018-07-20 18:27:26.284448,t
205,18274243,12573196,2018-07-03 16:53:11,2018-07-20 18:30:14.436056,2018-08-03 00:00:00,,Seeing Stars - 3 Items,39.95,1,ACTIVE,1446660702266,13422444281914,764204172542,5198467730,,2018-07-20 18:30:14.434777,t
216,18261331,12226709,2018-07-03 12:04:42,2018-07-20 18:31:08.698713,2018-08-03 00:00:00,,Seeing Stars - 3 Items,39.95,1,ACTIVE,1446660702266,13422444281914,764204172542,711775486010,,2018-07-20 18:31:08.697352,t
358,18067932,12447051,2018-06-28 20:44:50,2018-07-20 18:43:13.267786,2018-07-28 00:00:00,,Print Paradise - 3 Items,39.95,1,ACTIVE,1446651330618,13422408990778,764204172535,735815696442,,2018-07-20 18:43:13.266453,t
369,18062067,12443068,2018-06-28 17:29:54,2018-07-20 18:44:08.12078,2018-07-28 00:00:00,,Print Paradise - 3 Items,39.95,1,ACTIVE,1446651330618,13422408990778,764204172535,735418613818,,2018-07-20 18:44:08.119484,t
381,18053011,12437608,2018-06-28 13:52:04,2018-07-20 18:45:01.310324,2018-08-28 00:00:00,,Print Paradise - 3 Items,39.95,1,ACTIVE,1446651330618,13422408990778,764204172535,734936072250,,2018-07-20 18:45:01.308952,t
392,18038362,12428494,2018-06-28 07:19:11,2018-07-20 18:45:57.342097,2018-07-28 00:00:00,,Print Paradise - 3 Items,39.95,1,ACTIVE,1446651330618,13422408990778,764204172535,733173022778,,2018-07-20 18:45:57.340716,t
400,18020454,12417309,2018-06-27 17:58:40,2018-07-20 18:46:36.457779,2018-07-27 00:00:00,,Print Paradise - 3 Items,39.95,1,ACTIVE,1446651330618,13422408990778,764204172535,732893446202,,2018-07-20 18:46:36.456453,t
